locus_SNP	locus	gRNA	cisGene	logFC	MASTcpmdetvalue	FDR
rs11633075	UBE2Q2P1	UBE2Q2P1_2_gene	ZSCAN2	0.0946642792784762	0.907215131297229	1
rs11633075	UBE2Q2P1	UBE2Q2P1_3_gene	ZSCAN2	0.873494220792607	0.316121662320925	1
rs2027349	VPS45	VPS45_1_gene	VPS45	1.39878248783174	0.032852783281509	1
rs2027349	VPS45	VPS45_2_gene	VPS45	1.62958053310056	4.7786928405109e-05	0.711451790095263
rs2027349	VPS45	VPS45_3_gene	VPS45	1.88969450131188	0.0501800286065592	1
rs7936858	LOC100507431	LOC100507431_1_gene	SNX19	-0.132713959899407	0.939852237754609	1
rs7936858	LOC100507431	LOC100507431_2_gene	SNX19	-0.0341550446147537	0.87824092525404	1
rs7936858	LOC100507431	LOC100507431_3_gene	SNX19	0.294717042336754	0.340294568313513	1
rs10933	PBRM1	PBRM1_1_gene	PBRM1	2.0076866726704	0.232128421881374	1
rs10933	PBRM1	PBRM1_1_gene	GLT8D1	1.39507098343398	0.295259046625239	1
rs10933	PBRM1	PBRM1_1_gene	NEK4	-2.55249592511014	0.051284835378955	1
rs10933	PBRM1	PBRM1_1_gene	GNL3	-0.390172270345433	0.792716722035098	1
rs10933	PBRM1	PBRM1_1_gene	SPCS1	-0.0704541882664831	0.984550946129325	1
rs10933	PBRM1	PBRM1_2_gene	PBRM1	1.01632370078155	0.148672994904469	1
rs10933	PBRM1	PBRM1_2_gene	GLT8D1	0.123498992768356	0.828607551671512	1
rs10933	PBRM1	PBRM1_2_gene	NEK4	-0.173591982526475	0.837086056049029	1
rs10933	PBRM1	PBRM1_2_gene	GNL3	0.173618280890766	0.912632806410609	1
rs10933	PBRM1	PBRM1_2_gene	SPCS1	-0.0305800303931107	0.991296215167982	1
rs10933	PBRM1	PBRM1_3_gene	PBRM1	1.61208296686945	0.339109540794248	1
rs10933	PBRM1	PBRM1_3_gene	GLT8D1	0.0226112616582745	0.44365172038667	1
rs10933	PBRM1	PBRM1_3_gene	NEK4	-1.4280387228015	0.359561321683831	1
rs10933	PBRM1	PBRM1_3_gene	GNL3	2.70423193197601	0.0354886004654268	1
rs10933	PBRM1	PBRM1_3_gene	SPCS1	-0.295597204598827	0.750797008093556	1
rs6071578	PPP1R16B	PPP1R16B_1_gene	ACTR5	0.250979695303774	0.704375185842536	1
rs6071578	PPP1R16B	PPP1R16B_2_gene	ACTR5	-0.0376934586079954	0.989058891543129	1
rs6071578	PPP1R16B	PPP1R16B_3_gene	ACTR5	-0.367666877249965	0.400680028934304	1
